,Region,Name,Year,Series,Value,Category,ISO3
1,8,Albania,1975,Emissions (thousand metric tons of carbon dioxide),4338.334,CO2,ALB
9,8,Albania,1975,Emissions per capita (metric tons of carbon dioxide),1.804,CO2,ALB
17,12,Algeria,1975,Emissions (thousand metric tons of carbon dioxide),13552.694,CO2,DZA
25,12,Algeria,1975,Emissions per capita (metric tons of carbon dioxide),0.811,CO2,DZA
33,24,Angola,1975,Emissions (thousand metric tons of carbon dioxide),1955.802,CO2,AGO
41,24,Angola,1975,Emissions per capita (metric tons of carbon dioxide),0.255,CO2,AGO
49,32,Argentina,1975,Emissions (thousand metric tons of carbon dioxide),85231.756,CO2,ARG
57,32,Argentina,1975,Emissions per capita (metric tons of carbon dioxide),3.27,CO2,ARG
77,36,Australia,1975,Emissions (thousand metric tons of carbon dioxide),179467.397,CO2,AUS
85,36,Australia,1975,Emissions per capita (metric tons of carbon dioxide),12.848,CO2,AUS
93,40,Austria,1975,Emissions (thousand metric tons of carbon dioxide),49488.796,CO2,AUT
101,40,Austria,1975,Emissions per capita (metric tons of carbon dioxide),6.53,CO2,AUT
121,48,Bahrain,1975,Emissions (thousand metric tons of carbon dioxide),5229.829,CO2,BHR
129,48,Bahrain,1975,Emissions per capita (metric tons of carbon dioxide),19.587,CO2,BHR
137,50,Bangladesh,1975,Emissions (thousand metric tons of carbon dioxide),4409.654,CO2,BGD
145,50,Bangladesh,1975,Emissions per capita (metric tons of carbon dioxide),0.062,CO2,BGD
165,56,Belgium,1975,Emissions (thousand metric tons of carbon dioxide),115556.917,CO2,BEL
173,56,Belgium,1975,Emissions per capita (metric tons of carbon dioxide),11.813,CO2,BEL
181,204,Benin,1975,Emissions (thousand metric tons of carbon dioxide),462.751,CO2,BEN
189,204,Benin,1975,Emissions per capita (metric tons of carbon dioxide),0.142,CO2,BEN
239,76,Brazil,1975,Emissions (thousand metric tons of carbon dioxide),129628.181,CO2,BRA
247,76,Brazil,1975,Emissions per capita (metric tons of carbon dioxide),1.205,CO2,BRA
255,96,Brunei Darussalam,1975,Emissions (thousand metric tons of carbon dioxide),1408.173,CO2,BRN
263,96,Brunei Darussalam,1975,Emissions per capita (metric tons of carbon dioxide),8.692,CO2,BRN
271,100,Bulgaria,1975,Emissions (thousand metric tons of carbon dioxide),73315.187,CO2,BGR
279,100,Bulgaria,1975,Emissions per capita (metric tons of carbon dioxide),8.407,CO2,BGR
299,120,Cameroon,1975,Emissions (thousand metric tons of carbon dioxide),1019.224,CO2,CMR
307,120,Cameroon,1975,Emissions per capita (metric tons of carbon dioxide),0.137,CO2,CMR
315,124,Canada,1975,Emissions (thousand metric tons of carbon dioxide),377105.855,CO2,CAN
323,124,Canada,1975,Emissions per capita (metric tons of carbon dioxide),16.295,CO2,CAN
331,152,Chile,1975,Emissions (thousand metric tons of carbon dioxide),17111.657,CO2,CHL
339,152,Chile,1975,Emissions per capita (metric tons of carbon dioxide),1.643,CO2,CHL
347,156,China,1975,Emissions (thousand metric tons of carbon dioxide),1029319.44,CO2,CHN
355,156,China,1975,Emissions per capita (metric tons of carbon dioxide),1.123,CO2,CHN
379,170,Colombia,1975,Emissions (thousand metric tons of carbon dioxide),28297.258,CO2,COL
387,170,Colombia,1975,Emissions per capita (metric tons of carbon dioxide),1.143,CO2,COL
411,188,Costa Rica,1975,Emissions (thousand metric tons of carbon dioxide),1738.003,CO2,CRI
419,188,Costa Rica,1975,Emissions per capita (metric tons of carbon dioxide),0.829,CO2,CRI
455,192,Cuba,1975,Emissions (thousand metric tons of carbon dioxide),24184.624,CO2,CUB
463,192,Cuba,1975,Emissions per capita (metric tons of carbon dioxide),2.562,CO2,CUB
477,196,Cyprus,1975,Emissions (thousand metric tons of carbon dioxide),1658.258,CO2,CYP
485,196,Cyprus,1975,Emissions per capita (metric tons of carbon dioxide),3.277,CO2,CYP
541,208,Denmark,1975,Emissions (thousand metric tons of carbon dioxide),52645.648,CO2,DNK
549,208,Denmark,1975,Emissions per capita (metric tons of carbon dioxide),10.404,CO2,DNK
557,214,Dominican Republic,1975,Emissions (thousand metric tons of carbon dioxide),5213.329,CO2,DOM
565,214,Dominican Republic,1975,Emissions per capita (metric tons of carbon dioxide),1.012,CO2,DOM
573,218,Ecuador,1975,Emissions (thousand metric tons of carbon dioxide),5935.604,CO2,ECU
581,218,Ecuador,1975,Emissions per capita (metric tons of carbon dioxide),0.85,CO2,ECU
589,818,Egypt,1975,Emissions (thousand metric tons of carbon dioxide),25581.444,CO2,EGY
597,818,Egypt,1975,Emissions per capita (metric tons of carbon dioxide),0.653,CO2,EGY
605,222,El Salvador,1975,Emissions (thousand metric tons of carbon dioxide),1929.707,CO2,SLV
613,222,El Salvador,1975,Emissions per capita (metric tons of carbon dioxide),0.465,CO2,SLV
645,231,Ethiopia,1975,Emissions (thousand metric tons of carbon dioxide),1178.11,CO2,ETH
653,231,Ethiopia,1975,Emissions per capita (metric tons of carbon dioxide),0.036,CO2,ETH
661,246,Finland,1975,Emissions (thousand metric tons of carbon dioxide),44188.917,CO2,FIN
669,246,Finland,1975,Emissions per capita (metric tons of carbon dioxide),9.38,CO2,FIN
677,250,France,1975,Emissions (thousand metric tons of carbon dioxide),423108.047,CO2,FRA
685,250,France,1975,Emissions per capita (metric tons of carbon dioxide),7.845,CO2,FRA
693,266,Gabon,1975,Emissions (thousand metric tons of carbon dioxide),757.319,CO2,GAB
701,266,Gabon,1975,Emissions per capita (metric tons of carbon dioxide),1.165,CO2,GAB
721,276,Germany,1975,Emissions (thousand metric tons of carbon dioxide),973365.909,CO2,DEU
729,276,Germany,1975,Emissions per capita (metric tons of carbon dioxide),12.371,CO2,DEU
737,288,Ghana,1975,Emissions (thousand metric tons of carbon dioxide),2305.818,CO2,GHA
745,288,Ghana,1975,Emissions per capita (metric tons of carbon dioxide),0.235,CO2,GHA
753,292,Gibraltar,1975,Emissions (thousand metric tons of carbon dioxide),62.036,CO2,GIB
761,292,Gibraltar,1975,Emissions per capita (metric tons of carbon dioxide),2.386,CO2,GIB
769,300,Greece,1975,Emissions (thousand metric tons of carbon dioxide),34099.717,CO2,GRC
777,300,Greece,1975,Emissions per capita (metric tons of carbon dioxide),3.731,CO2,GRC
785,320,Guatemala,1975,Emissions (thousand metric tons of carbon dioxide),3015.686,CO2,GTM
793,320,Guatemala,1975,Emissions per capita (metric tons of carbon dioxide),0.469,CO2,GTM
801,332,Haiti,1975,Emissions (thousand metric tons of carbon dioxide),412.844,CO2,HTI
809,332,Haiti,1975,Emissions per capita (metric tons of carbon dioxide),0.08,CO2,HTI
817,340,Honduras,1975,Emissions (thousand metric tons of carbon dioxide),1327.971,CO2,HND
825,340,Honduras,1975,Emissions per capita (metric tons of carbon dioxide),0.421,CO2,HND
833,348,Hungary,1975,Emissions (thousand metric tons of carbon dioxide),70172.709,CO2,HUN
841,348,Hungary,1975,Emissions per capita (metric tons of carbon dioxide),6.663,CO2,HUN
849,352,Iceland,1975,Emissions (thousand metric tons of carbon dioxide),1614.157,CO2,ISL
857,352,Iceland,1975,Emissions per capita (metric tons of carbon dioxide),7.404,CO2,ISL
865,356,India,1975,Emissions (thousand metric tons of carbon dioxide),217193.593,CO2,IND
873,356,India,1975,Emissions per capita (metric tons of carbon dioxide),0.35,CO2,IND
881,360,Indonesia,1975,Emissions (thousand metric tons of carbon dioxide),37839.826,CO2,IDN
889,360,Indonesia,1975,Emissions per capita (metric tons of carbon dioxide),0.289,CO2,IDN
913,368,Iraq,1975,Emissions (thousand metric tons of carbon dioxide),15538.682,CO2,IRQ
921,368,Iraq,1975,Emissions per capita (metric tons of carbon dioxide),1.33,CO2,IRQ
929,372,Ireland,1975,Emissions (thousand metric tons of carbon dioxide),21148.87,CO2,IRL
937,372,Ireland,1975,Emissions per capita (metric tons of carbon dioxide),6.657,CO2,IRL
945,376,Israel,1975,Emissions (thousand metric tons of carbon dioxide),16410.171,CO2,ISR
953,376,Israel,1975,Emissions per capita (metric tons of carbon dioxide),4.75,CO2,ISR
961,380,Italy,1975,Emissions (thousand metric tons of carbon dioxide),317060.307,CO2,ITA
969,380,Italy,1975,Emissions per capita (metric tons of carbon dioxide),5.719,CO2,ITA
977,388,Jamaica,1975,Emissions (thousand metric tons of carbon dioxide),7448.304,CO2,JAM
985,388,Jamaica,1975,Emissions per capita (metric tons of carbon dioxide),3.673,CO2,JAM
993,392,Japan,1975,Emissions (thousand metric tons of carbon dioxide),849909.997,CO2,JPN
1001,392,Japan,1975,Emissions per capita (metric tons of carbon dioxide),7.604,CO2,JPN
1009,400,Jordan,1975,Emissions (thousand metric tons of carbon dioxide),2151.025,CO2,JOR
1017,400,Jordan,1975,Emissions per capita (metric tons of carbon dioxide),1.043,CO2,JOR
1037,404,Kenya,1975,Emissions (thousand metric tons of carbon dioxide),3460.622,CO2,KEN
1045,404,Kenya,1975,Emissions per capita (metric tons of carbon dioxide),0.257,CO2,KEN
1063,414,Kuwait,1975,Emissions (thousand metric tons of carbon dioxide),15107.406,CO2,KWT
1071,414,Kuwait,1975,Emissions per capita (metric tons of carbon dioxide),14.739,CO2,KWT
1103,422,Lebanon,1975,Emissions (thousand metric tons of carbon dioxide),5709.367,CO2,LBN
1111,422,Lebanon,1975,Emissions per capita (metric tons of carbon dioxide),2.216,CO2,LBN
1119,434,Libya,1975,Emissions (thousand metric tons of carbon dioxide),8670.6,CO2,LBY
1127,434,Libya,1975,Emissions per capita (metric tons of carbon dioxide),3.278,CO2,LBY
1147,442,Luxembourg,1975,Emissions (thousand metric tons of carbon dioxide),12739.168,CO2,LUX
1155,442,Luxembourg,1975,Emissions per capita (metric tons of carbon dioxide),35.485,CO2,LUX
1163,458,Malaysia,1975,Emissions (thousand metric tons of carbon dioxide),16217.173,CO2,MYS
1171,458,Malaysia,1975,Emissions per capita (metric tons of carbon dioxide),1.333,CO2,MYS
1179,470,Malta,1975,Emissions (thousand metric tons of carbon dioxide),651.329,CO2,MLT
1187,470,Malta,1975,Emissions per capita (metric tons of carbon dioxide),2.143,CO2,MLT
1195,480,Mauritius,1975,Emissions (thousand metric tons of carbon dioxide),422.4,CO2,MUS
1203,480,Mauritius,1975,Emissions per capita (metric tons of carbon dioxide),0.474,CO2,MUS
1211,484,Mexico,1975,Emissions (thousand metric tons of carbon dioxide),134558.202,CO2,MEX
1219,484,Mexico,1975,Emissions per capita (metric tons of carbon dioxide),2.213,CO2,MEX
1251,504,Morocco,1975,Emissions (thousand metric tons of carbon dioxide),9662.413,CO2,MAR
1259,504,Morocco,1975,Emissions per capita (metric tons of carbon dioxide),0.543,CO2,MAR
1267,508,Mozambique,1975,Emissions (thousand metric tons of carbon dioxide),2375.964,CO2,MOZ
1275,508,Mozambique,1975,Emissions per capita (metric tons of carbon dioxide),0.23,CO2,MOZ
